N T union_alg comp_alg step path_len point_upd ngroups
1000 0 0 0 1 0 0 1000
1000 0 0 0 250 320 0 751
1000 0 0 0 500 1563 0 504
1000 0 0 0 750 22504 0 285
1000 0 0 0 1000 53904 0 158
1000 0 0 0 1250 74870 0 102
1000 0 0 0 1500 94026 0 55
1000 0 0 0 1750 106367 0 34
1000 0 0 0 2000 115126 0 18
1000 0 0 0 2250 120051 0 11
1000 0 0 0 2500 121039 0 10
1000 0 0 0 2750 122032 0 7
1000 0 0 0 3000 123028 0 5
1000 0 0 0 3250 123029 0 4
1000 0 0 0 3500 124026 0 3
1000 0 0 0 3750 124027 0 2
1000 0 0 0 4000 124027 0 2
1000 0 0 0 4076 124028 0 1
5000 0 0 0 1 0 0 5000
5000 0 0 0 250 259 0 4751
5000 0 0 0 500 542 0 4501
5000 0 0 0 750 872 0 4251
5000 0 0 0 1000 1283 0 4001
5000 0 0 0 1250 1724 0 3751
5000 0 0 0 1500 2224 0 3501
5000 0 0 0 1750 2884 0 3251
5000 0 0 0 2000 3943 0 3001
5000 0 0 0 2250 5637 0 2751
5000 0 0 0 2500 10177 0 2501
5000 0 0 0 2750 22008 0 2252
5000 0 0 0 3000 77707 0 2017
5000 0 0 0 3250 180446 0 1806
5000 0 0 0 3500 318961 0 1619
5000 0 0 0 3750 485690 0 1452
5000 0 0 0 4000 676895 0 1287
5000 0 0 0 4250 894821 0 1147
5000 0 0 0 4500 1069550 0 1024
5000 0 0 0 4750 1275848 0 915
5000 0 0 0 5000 1447787 0 809
5000 0 0 0 5250 1602590 0 721
5000 0 0 0 5500 1719494 0 647
5000 0 0 0 5750 1851699 0 579
5000 0 0 0 6000 1990941 0 508
5000 0 0 0 6250 2133017 0 452
5000 0 0 0 6500 2254613 0 405
5000 0 0 0 6750 2364175 0 357
5000 0 0 0 7000 2433435 0 322
5000 0 0 0 7250 2498716 0 289
5000 0 0 0 7500 2583438 0 252
5000 0 0 0 7750 2645073 0 226
5000 0 0 0 8000 2687994 0 208
5000 0 0 0 8250 2716712 0 192
5000 0 0 0 8500 2760008 0 171
5000 0 0 0 8750 2818023 0 151
5000 0 0 0 9000 2856881 0 135
5000 0 0 0 9250 2910477 0 120
5000 0 0 0 9500 2930020 0 110
5000 0 0 0 9750 2954520 0 96
5000 0 0 0 10000 2969240 0 91
5000 0 0 0 10250 3008572 0 78
5000 0 0 0 10500 3028282 0 68
5000 0 0 0 10750 3033220 0 63
5000 0 0 0 11000 3043103 0 58
5000 0 0 0 11250 3043109 0 52
5000 0 0 0 11500 3057957 0 48
5000 0 0 0 11750 3077771 0 44
5000 0 0 0 12000 3082727 0 43
5000 0 0 0 12250 3092646 0 39
5000 0 0 0 12500 3102571 0 36
5000 0 0 0 12750 3107537 0 33
5000 0 0 0 13000 3122447 0 29
5000 0 0 0 13250 3127426 0 24
5000 0 0 0 13500 3137381 0 22
5000 0 0 0 13750 3142361 0 20
5000 0 0 0 14000 3147343 0 18
5000 0 0 0 14250 3152326 0 17
5000 0 0 0 14500 3157310 0 16
5000 0 0 0 14750 3157310 0 16
5000 0 0 0 15000 3162295 0 15
5000 0 0 0 15250 3167281 0 14
5000 0 0 0 15500 3167281 0 14
5000 0 0 0 15750 3167282 0 13
5000 0 0 0 16000 3167283 0 12
5000 0 0 0 16250 3172272 0 11
5000 0 0 0 16500 3172274 0 9
5000 0 0 0 16750 3172275 0 8
5000 0 0 0 17000 3172275 0 8
5000 0 0 0 17250 3172275 0 8
5000 0 0 0 17500 3172275 0 8
5000 0 0 0 17750 3177268 0 7
5000 0 0 0 18000 3177268 0 7
5000 0 0 0 18250 3177269 0 6
5000 0 0 0 18500 3177269 0 6
5000 0 0 0 18750 3177269 0 6
5000 0 0 0 19000 3182264 0 5
5000 0 0 0 19250 3182264 0 5
5000 0 0 0 19500 3187260 0 4
5000 0 0 0 19750 3187260 0 4
5000 0 0 0 20000 3187260 0 4
5000 0 0 0 20250 3187260 0 4
5000 0 0 0 20500 3187260 0 4
5000 0 0 0 20750 3187260 0 4
5000 0 0 0 21000 3187260 0 4
5000 0 0 0 21250 3187260 0 4
5000 0 0 0 21500 3187260 0 4
5000 0 0 0 21750 3187260 0 4
5000 0 0 0 22000 3187260 0 4
5000 0 0 0 22250 3187260 0 4
5000 0 0 0 22500 3187260 0 4
