N T union_alg comp_alg time
1000 0 0 0 4.0219
5000 0 0 0 131.634
10000 0 0 0 504.376
1000 1 0 0 3.9445
5000 1 0 0 123.985
10000 1 0 0 458.058
1000 2 0 0 3.784
5000 2 0 0 116.663
10000 2 0 0 447.099
1000 3 0 0 3.9279
5000 3 0 0 108.672
10000 3 0 0 711.857
1000 4 0 0 4.7796
5000 4 0 0 135.135
10000 4 0 0 568.088
1000 5 0 0 3.8076
5000 5 0 0 182.088
10000 5 0 0 769.146
1000 6 0 0 5.4493
5000 6 0 0 303.022
10000 6 0 0 511.173
1000 7 0 0 4.1635
5000 7 0 0 121.337
10000 7 0 0 477.409
1000 8 0 0 5.5387
5000 8 0 0 183.251
10000 8 0 0 644.924
1000 9 0 0 6.4211
5000 9 0 0 117.565
10000 9 0 0 485.9
1000 10 0 0 2.9542
5000 10 0 0 107.052
10000 10 0 0 522.531
1000 11 0 0 4.5556
5000 11 0 0 178.002
10000 11 0 0 432.31
1000 12 0 0 5.8948
5000 12 0 0 101.23
10000 12 0 0 722.608
1000 13 0 0 3.4991
5000 13 0 0 110.742
10000 13 0 0 607.816
1000 14 0 0 4.4408
5000 14 0 0 113.276
10000 14 0 0 543.071
1000 15 0 0 2.9065
5000 15 0 0 131.289
10000 15 0 0 546.467
1000 16 0 0 3.0322
5000 16 0 0 119.419
10000 16 0 0 453.74
1000 17 0 0 2.3914
5000 17 0 0 128.596
10000 17 0 0 548.721
1000 18 0 0 2.4671
5000 18 0 0 120.039
10000 18 0 0 822.99
1000 19 0 0 2.8717
5000 19 0 0 121.4
10000 19 0 0 552.418
1000 0 0 1 0.5281
5000 0 0 1 3.1206
10000 0 0 1 7.5819
1000 1 0 1 0.6257
5000 1 0 1 4.2079
10000 1 0 1 5.3123
1000 2 0 1 0.4378
5000 2 0 1 3.8878
10000 2 0 1 6.3479
1000 3 0 1 0.6631
5000 3 0 1 2.9594
10000 3 0 1 7.8411
1000 4 0 1 0.5289
5000 4 0 1 3.6199
10000 4 0 1 9.1956
1000 5 0 1 0.4493
5000 5 0 1 3.314
10000 5 0 1 9.7152
1000 6 0 1 0.4804
5000 6 0 1 7.2662
10000 6 0 1 6.2657
1000 7 0 1 0.4986
5000 7 0 1 3.3164
10000 7 0 1 5.5783
1000 8 0 1 0.7481
5000 8 0 1 2.7106
10000 8 0 1 9.1154
1000 9 0 1 0.6001
5000 9 0 1 2.7391
10000 9 0 1 7.1391
1000 10 0 1 0.3822
5000 10 0 1 2.7379
10000 10 0 1 6.9188
1000 11 0 1 0.3635
5000 11 0 1 3.9693
10000 11 0 1 5.439
1000 12 0 1 0.8757
5000 12 0 1 4.1645
10000 12 0 1 7.097
1000 13 0 1 0.5222
5000 13 0 1 2.8535
10000 13 0 1 6.945
1000 14 0 1 0.7254
5000 14 0 1 2.712
10000 14 0 1 7.6596
1000 15 0 1 0.3941
5000 15 0 1 3.2781
10000 15 0 1 8.1224
1000 16 0 1 0.4105
5000 16 0 1 2.6054
